doi,exponential_a,exponential_b,exponential_c,exponential_r2,linear_a,linear_b,linear_r2,mean_ss,std_dev_ss
10.1038/ncomms8123,314.71297709193811,0.092950528113528177,7.5974026734160116,0.29819872948933557,-0.022453425565574586,13.49142419392205,0.98687578493401729,8.313984168865435,11.678367332205452
10.1038/ncomms8196,58.000134864427125,0.11498280408799652,2.9561437148078276,0.37214586255290194,0.0032482721127160552,2.2318300815230607,1.0665078565857715,2.991304347826087,3.2100268241434118
10.1038/ncomms8441,36.489395481874929,0.16899228703084931,2.3130835450084453,0.36191058738020132,-0.0020092088217771144,2.685503131676036,1.006434522953277,2.233502538071066,1.7470190466866531
10.1038/ncomms8487,1077.8201327387269,0.15217142426188957,9.9292438742382565,0.27313706270184934,-0.065755298944011317,25.254797233381215,0.98739076988919627,11.313559322033898,21.180165737419514
10.1038/ncomms2945,39.294167367573174,0.11094835985963995,2.5005301792420442,0.42137984353654251,-0.0011453265435354965,3.1376989779300026,0.98086794887637963,2.5214592274678114,1.9457698189281687
10.1038/ncomms8177,630.48820636593837,0.43183870757214582,4.4175543399796133,0.1181432182564474,-0.0089789707376362049,5.9295764176102406,0.96918106425334383,3.8323529411764707,3.0627957805050592
10.1038/ncomms2423,172.24164660666938,0.18080396251535069,3.3372616813778051,0.20140320069887219,-0.0019387896433455953,4.5249186511209096,0.98169189589102568,3.3075933075933075,3.3042784946178019
10.1038/ncomms2519,47.730707236373426,0.14455262163279012,2.1115022086502075,0.31578901436804863,-0.00059435761080739447,2.4593450808016111,1.003722580068882,2.1021505376344085,1.8169736444566988
10.1038/ncomms2905,80.109176814926158,0.13015460831064116,2.9134180805235252,0.21837418054382321,-0.0021399840685885074,4.128086967806091,0.96770098133699645,2.9410745233968805,2.5628990482865248
10.1038/ncomms2687,55.994036691645817,0.12515073935862775,2.843982969032901,0.34076804291640367,-0.0014746464598229814,3.6818996308774374,0.97379635056792313,2.8321033210332103,2.5015572280023015
10.1038/ncomms8390,71.180067298205074,0.040594772446465421,7.5844144247936871,0.9246944138742178,0.022183095331264391,4.3103503577168309,1.0233356859729843,8.8320610687022896,42.441095717189725
10.1038/ncomms2864,91.802965955957433,0.12834331093654172,2.753223017679884,0.21695187153447074,-0.0016130686010418227,3.6437298770363342,0.98605375249158078,2.7542768273716951,2.8853617088439245
10.1038/ncomms2723,30.55510043509981,0.69657413734473528,1.8309255275838181,0.30843983924418805,-0.00054921310709521443,2.0515411268070163,0.98369173062163806,1.7021276595744681,1.2617936172921469
10.1038/ncomms8239,130.45392073303947,0.20293362682697846,4.2392657307684845,0.24161801036796043,-0.0040977482364543683,4.9906021144118249,1.0045098200151945,4.0920634920634917,3.5106776620422435
10.1038/ncomms7701,249.70743143746463,0.12987526185357479,5.2360489013850104,0.36321133727807681,-0.017673356682027748,10.043237812528194,0.97752977707024802,5.5594594594594593,7.5672108989308047
10.1038/ncomms2518,152.70012484992563,0.36010022482078025,5.2603743937382728,0.87268435590211779,-0.0045332694839333998,7.8523127771851229,0.98480313929235141,5.034313725490196,19.130519170809627
10.1038/ncomms2922,80.969216792293722,0.11882723409643976,2.7646705360449899,0.21268167397942522,-0.0012405056846616347,3.4171595172932205,0.99843372955322562,2.7296747967479673,2.8687575381935133
10.1038/ncomms2909,110.48707730779171,0.20294112020427646,2.8289449829115143,0.18717814909399183,-0.0017890667796813808,3.60612427564898,0.99667757778782307,2.6737804878048781,2.6561562822463722
10.1038/ncomms2835,108.91642573703247,0.073366992268982772,3.2479775470256196,0.2992663709318234,-0.0029310667520021758,5.0718683245901053,0.97989717276600097,3.4868238557558944,3.7156423902979938
10.1038/ncomms2915,35.238659268762248,0.12451413241667064,2.014133175431791,0.28468807652239814,-0.00044906224421541917,2.2969283732477397,1.0103597500679089,2.0404984423676011,1.5632794830769725
10.1038/ncomms8607,223.32799733660974,33.142423921471853,8.6720026366886831,0.97020244550434798,0.065072807872043836,-5.0740032978286678,1.0026953651190178,8.1493212669683253,85.360297668713386
10.1038/ncomms2662,84.771733928670358,0.14876494116499256,2.6873650488466447,0.32623837018354829,-0.00023964453580314606,2.775216938955122,1.0151649950461772,2.6327800829875518,2.2792597594880584
10.1038/ncomms7416,52.879117115808569,0.093058480170590346,3.5768824221495548,0.35167274078227245,-0.0060782415810463741,5.2318521689975137,0.95509907933876226,3.6314199395770395,2.9787937463287659
10.1038/ncomms2685,76.715459397280682,0.17621702349188739,2.9486926486209888,0.30205050125352417,-0.0012664713170809352,3.6863155079490988,0.98454975665914235,2.8999999999999999,2.5118182197823975
10.1038/ncomms8461,616.57609804250842,0.09192865438051484,26.334513211689234,0.34232484896395993,-0.066906686493697104,42.705484340370219,0.97110712494783069,28.058823529411764,18.209469379597667
10.1038/ncomms8293,154.71219030556446,1.3037602509685104,4.2006926985863826,0.22064563054861397,-0.0031247211280371889,4.096425699436022,1.0009035052567399,3.4242424242424243,2.4622027958511339
10.1038/ncomms2802,56.058275804931746,0.36432291220127011,2.2943079477251134,0.32043501890955389,-0.00069168458521740028,2.5218444545111947,0.99117544040137329,2.0693333333333332,1.5715786825849842
10.1038/ncomms8110,217.3876759814739,0.090217521424765731,3.8900737410946156,0.72269051455148348,-0.010410118045149826,6.7643344920905726,1.0022609366375195,4.3815384615384616,8.2794814461868107
10.1038/ncomms2997,174.04637529637424,0.21022234448752228,3.2821988201280812,0.18725253456958085,-0.0027687554228064126,4.3596934735438193,0.98819800838168614,3.057391304347826,3.0891411742921333
10.1038/ncomms2565,35.631383017702397,0.044844038353798417,2.4181478266925027,0.42094451595378368,-0.0025331676266504535,4.1777496713755671,0.94262379851423417,2.7935222672064777,3.0090750967304443
10.1038/ncomms2803,517.62089669561271,0.17378782174768911,6.7637212532439142,0.37756474585826194,-0.0074686615252430588,11.076581764351706,0.98404867905655813,6.7654196157735083,15.782699611542
10.1038/ncomms7876,37.249915555546174,0.15237969977010665,2.0997295419141047,0.35911247894294879,-0.0026920143252634168,2.6845259970798598,0.99603560831191207,2.0614525139664805,1.4029578139179213
10.1038/ncomms8111,1752.1176113376273,0.47899738910117684,4.316942074090969,0.060100538412694582,-0.0037606147112103638,4.276840874511624,1.0134325593880498,3.4398496240601504,4.7062339052975357
10.1038/ncomms2385,179.72537314791788,25.816901250342987,3.274626852082219,0.24706637795243533,-0.0015516509223314184,3.7398770732365776,0.98210057924824545,2.7878315132605302,2.4345232407988529
10.1038/ncomms2900,142.47386573253937,0.10550989397778845,3.283610982192648,0.20861952314103316,-0.0030022530267335146,5.0482547047021606,0.98038093645212865,3.3895184135977336,3.6399347884028419
